rentree_scolaire,region_academique,academie,departement,commune,numero_lycee,denomination_principale,patronyme,secteur,nombre_d_eleves,2ndes_gt,2ndes_gt_filles,2ndes_gt_garcons,2ndes_gt_lv1_allemand,2ndes_gt_lv1_anglais,2ndes_gt_lv1_espagnol
2022,AUVERGNE-ET-RHONE-ALPES,CLERMONT-FERRAND,ALLIER,COMMENTRY,0031044U,LYCEE POLYVALENT,GENEVIEVE VINCENT,PUBLIC,73,16,13,3,0,16,0
2022,AUVERGNE-ET-RHONE-ALPES,CLERMONT-FERRAND,ALLIER,CUSSET,0030051P,LGT LYCEE DES METIERS,ALBERT LONDRES,PUBLIC,1613,532,291,241,18,497,17
2022,AUVERGNE-ET-RHONE-ALPES,CLERMONT-FERRAND,ALLIER,CUSSET,0030072M,LYCEE GENERAL PRIVE,SAINT PIERRE,PRIVE,313,116,59,57,0,116,0
2022,AUVERGNE-ET-RHONE-ALPES,CLERMONT-FERRAND,ALLIER,CUSSET,0031082K,LYCEE POLYVALENT,VALERY LARBAUD,PUBLIC,218,55,42,13,0,49,0
2022,AUVERGNE-ET-RHONE-ALPES,CLERMONT-FERRAND,ALLIER,GANNAT,0030073N,LYCEE GEN.ET TECHNOL.PRIVE,SAINTE PROCULE,PRIVE,49,18,15,3,0,18,0
2022,AUVERGNE-ET-RHONE-ALPES,CLERMONT-FERRAND,ALLIER,MONTLUCON,0030025L,LYCEE GENERAL,MADAME DE STAEL,PUBLIC,975,322,223,99,10,292,20
2022,AUVERGNE-ET-RHONE-ALPES,CLERMONT-FERRAND,ALLIER,MONTLUCON,0030026M,LPO LYCEE DES METIERS,PAUL CONSTANS,PUBLIC,868,305,136,169,0,305,0
2022,AUVERGNE-ET-RHONE-ALPES,CLERMONT-FERRAND,ALLIER,MONTLUCON,0030445T,LYCEE GENERAL PRIVE,SAINT-JOSEPH,PRIVE,73,28,11,17,0,28,0
2022,AUVERGNE-ET-RHONE-ALPES,CLERMONT-FERRAND,ALLIER,MOULINS,0030036Y,LYCEE GENERAL,THEODORE DE BANVILLE,PUBLIC,1008,348,182,166,3,345,0
2022,AUVERGNE-ET-RHONE-ALPES,CLERMONT-FERRAND,ALLIER,MOULINS,0030084A,LYCEE GENERAL PRIVE,SAINT BENOIT,PRIVE,114,45,29,16,0,45,0
2022,AUVERGNE-ET-RHONE-ALPES,CLERMONT-FERRAND,ALLIER,MOULINS,0031041R,LYCEE TECHNOLOGIQUE PRIVE,ANNA RODIER,PRIVE,71,0,0,0,0,0,0
2022,AUVERGNE-ET-RHONE-ALPES,CLERMONT-FERRAND,ALLIER,SAINT-POURCAIN-SUR-SIOULE,0030044G,LYCEE GENERAL,BLAISE DE VIGENERE,PUBLIC,363,137,77,60,0,137,0
2022,AUVERGNE-ET-RHONE-ALPES,CLERMONT-FERRAND,ALLIER,YZEURE,0030038A,LPO LYCEE DES METIERS,JEAN MONNET,PUBLIC,519,166,90,76,0,166,0
2022,AUVERGNE-ET-RHONE-ALPES,CLERMONT-FERRAND,CANTAL,AURILLAC,0150006A,LPO LYCEE DES METIERS,MONNET-MERMOZ,PUBLIC,738,225,108,117,0,214,0
2022,AUVERGNE-ET-RHONE-ALPES,CLERMONT-FERRAND,CANTAL,AURILLAC,0150047V,LYCEE POLYVALENT PRIVE,DE LA COMMUNICATION ST GERAUD,PRIVE,107,36,29,7,0,36,0
2022,AUVERGNE-ET-RHONE-ALPES,CLERMONT-FERRAND,CANTAL,AURILLAC,0150646W,LYCEE GENERAL,EMILE DUCLAUX,PUBLIC,712,253,142,111,0,245,8
2022,AUVERGNE-ET-RHONE-ALPES,CLERMONT-FERRAND,CANTAL,AURILLAC,0150760V,LYCEE POLYVALENT PRIVE,GERBERT,PRIVE,138,48,20,28,5,43,0
2022,AUVERGNE-ET-RHONE-ALPES,CLERMONT-FERRAND,CANTAL,MAURIAC,0150747F,LPO LYCEE DES METIERS,,PUBLIC,219,92,51,41,0,92,0
2022,AUVERGNE-ET-RHONE-ALPES,CLERMONT-FERRAND,CANTAL,SAINT-FLOUR,0150030B,LYCEE POLYVALENT,DE HAUTE AUVERGNE,PUBLIC,406,126,80,46,0,125,1
2022,AUVERGNE-ET-RHONE-ALPES,CLERMONT-FERRAND,CANTAL,SAINT-FLOUR,0150051Z,LYCEE GENERAL PRIVE,LA PRESENTATION,PRIVE,55,26,15,11,0,23,3
2022,AUVERGNE-ET-RHONE-ALPES,CLERMONT-FERRAND,HAUTE-LOIRE,BRIOUDE,0430003V,LYCEE GENERAL ET TECHNOLOGIQUE,LA FAYETTE,PUBLIC,381,135,87,48,0,135,0
2022,AUVERGNE-ET-RHONE-ALPES,CLERMONT-FERRAND,HAUTE-LOIRE,BRIOUDE,0430053Z,LYCEE POLYVALENT PRIVE,SAINT JULIEN,PRIVE,226,75,31,44,0,75,0
2022,AUVERGNE-ET-RHONE-ALPES,CLERMONT-FERRAND,HAUTE-LOIRE,BRIVES-CHARENSAC,0430055B,LYCEE GEN.ET TECHNOL.PRIVE,LA CHARTREUSE PARADIS,PRIVE,479,167,85,82,0,167,0
2022,AUVERGNE-ET-RHONE-ALPES,CLERMONT-FERRAND,HAUTE-LOIRE,LE PUY-EN-VELAY,0430020N,LPO LYCEE DES METIERS,CHARLES ET ADRIEN DUPUY,PUBLIC,429,153,73,80,0,153,0
2022,AUVERGNE-ET-RHONE-ALPES,CLERMONT-FERRAND,HAUTE-LOIRE,LE PUY-EN-VELAY,0430021P,LYCEE GENERAL ET TECHNOLOGIQUE,SIMONE WEIL,PUBLIC,1065,329,183,146,0,329,0
2022,AUVERGNE-ET-RHONE-ALPES,CLERMONT-FERRAND,HAUTE-LOIRE,LE PUY-EN-VELAY,0430098Y,LPO PRIVE LYCEE DES METIERS,ANNE MARIE MARTEL,PRIVE,74,0,0,0,0,0,0
2022,AUVERGNE-ET-RHONE-ALPES,CLERMONT-FERRAND,HAUTE-LOIRE,LE PUY-EN-VELAY,0430968U,LYCEE GENERAL PRIVE,ST-JACQUES DE COMPOSTELLE,PRIVE,136,40,25,15,0,40,0
2022,AUVERGNE-ET-RHONE-ALPES,CLERMONT-FERRAND,HAUTE-LOIRE,MONISTROL-SUR-LOIRE,0430058E,LYCEE GEN.ET TECHNOL.PRIVE,NOTRE DAME DU CHATEAU,PRIVE,787,249,125,124,0,249,0
2022,AUVERGNE-ET-RHONE-ALPES,CLERMONT-FERRAND,HAUTE-LOIRE,MONISTROL-SUR-LOIRE,0430947W,LYCEE GENERAL ET TECHNOLOGIQUE,LEONARD DE VINCI,PUBLIC,974,358,220,138,0,358,0
2022,AUVERGNE-ET-RHONE-ALPES,CLERMONT-FERRAND,HAUTE-LOIRE,YSSINGEAUX,0430065M,LYCEE GEN.ET TECHNOL.PRIVE,SAINT-GABRIEL,PRIVE,172,55,30,25,0,55,0
2022,AUVERGNE-ET-RHONE-ALPES,CLERMONT-FERRAND,HAUTE-LOIRE,YSSINGEAUX,0430953C,LYCEE POLYVALENT,EMMANUEL CHABRIER,PUBLIC,259,117,68,49,0,117,0
2022,AUVERGNE-ET-RHONE-ALPES,CLERMONT-FERRAND,PUY-DE-DOME,AMBERT,0630001J,LYCEE POLYVALENT,BLAISE PASCAL,PUBLIC,315,120,62,58,11,109,0
2022,AUVERGNE-ET-RHONE-ALPES,CLERMONT-FERRAND,PUY-DE-DOME,CHAMALIERES,0631070W,LYC GEN TECH PRIVE DES METIERS,SAINTE THECLE,PRIVE,361,120,68,52,0,120,0
2022,AUVERGNE-ET-RHONE-ALPES,CLERMONT-FERRAND,PUY-DE-DOME,CHAMALIERES,0631669X,LPO LYCEE DES METIERS,DES METIERS DE L'HOTELLERIE DE,PUBLIC,658,202,112,90,0,202,0
2022,AUVERGNE-ET-RHONE-ALPES,CLERMONT-FERRAND,PUY-DE-DOME,CLERMONT-FERRAND,0630018C,LYCEE GENERAL,BLAISE PASCAL,PUBLIC,977,369,196,173,0,369,0
2022,AUVERGNE-ET-RHONE-ALPES,CLERMONT-FERRAND,PUY-DE-DOME,CLERMONT-FERRAND,0630019D,LYCEE INTERNATIONAL,JEANNE D'ARC,PUBLIC,1381,478,285,193,31,414,33
2022,AUVERGNE-ET-RHONE-ALPES,CLERMONT-FERRAND,PUY-DE-DOME,CLERMONT-FERRAND,0630020E,LYCEE GENERAL ET TECHNOLOGIQUE,SIDOINE APOLLINAIRE,PUBLIC,924,243,186,57,0,243,0
2022,AUVERGNE-ET-RHONE-ALPES,CLERMONT-FERRAND,PUY-DE-DOME,CLERMONT-FERRAND,0630021F,LPO LYCEE DES METIERS,LA FAYETTE,PUBLIC,745,270,43,227,0,270,0
2022,AUVERGNE-ET-RHONE-ALPES,CLERMONT-FERRAND,PUY-DE-DOME,CLERMONT-FERRAND,0630077S,LYCEE GENERAL ET TECHNOLOGIQUE,AMBROISE BRUGIERE,PUBLIC,948,326,187,139,0,325,0
2022,AUVERGNE-ET-RHONE-ALPES,CLERMONT-FERRAND,PUY-DE-DOME,CLERMONT-FERRAND,0631068U,LYCEE GEN.ET TECHNOL.PRIVE,GODEFROY DE BOUILLON,PRIVE,697,222,97,125,0,222,0
2022,AUVERGNE-ET-RHONE-ALPES,CLERMONT-FERRAND,PUY-DE-DOME,CLERMONT-FERRAND,0631074A,LYC GEN TECH PRIVE DES METIERS,FENELON,PRIVE,393,145,83,62,0,145,0
2022,AUVERGNE-ET-RHONE-ALPES,CLERMONT-FERRAND,PUY-DE-DOME,CLERMONT-FERRAND,0631075B,LYCEE GEN.ET TECHNOL.PRIVE,SAINT ALYRE,PRIVE,608,189,98,91,15,174,0
2022,AUVERGNE-ET-RHONE-ALPES,CLERMONT-FERRAND,PUY-DE-DOME,CLERMONT-FERRAND,0631847R,LYCEE GENERAL PRIVE,MASSILLON,PRIVE,380,143,69,74,0,143,0
2022,AUVERGNE-ET-RHONE-ALPES,CLERMONT-FERRAND,PUY-DE-DOME,COURNON-D'AUVERGNE,0631861F,LYCEE GENERAL ET TECHNOLOGIQUE,RENE DESCARTES,PUBLIC,1425,477,292,185,0,477,0
2022,AUVERGNE-ET-RHONE-ALPES,CLERMONT-FERRAND,PUY-DE-DOME,COURPIERE,0631032E,LYCEE GENERAL PRIVE,SAINT PIERRE,PRIVE,103,42,27,15,0,42,0
2022,AUVERGNE-ET-RHONE-ALPES,CLERMONT-FERRAND,PUY-DE-DOME,ISSOIRE,0630034V,LYCEE GENERAL ET TECHNOLOGIQUE,MURAT,PUBLIC,975,331,154,177,8,316,7
2022,AUVERGNE-ET-RHONE-ALPES,CLERMONT-FERRAND,PUY-DE-DOME,ISSOIRE,0631033F,LYCEE GEN.ET TECHNOL.PRIVE,SEVIGNE SAINT LOUIS,PRIVE,240,84,43,41,1,83,0
2022,AUVERGNE-ET-RHONE-ALPES,CLERMONT-FERRAND,PUY-DE-DOME,RIOM,0630052P,LYCEE GENERAL ET TECHNOLOGIQUE,C. ET P. VIRLOGEUX,PUBLIC,1315,447,247,200,0,447,0
2022,AUVERGNE-ET-RHONE-ALPES,CLERMONT-FERRAND,PUY-DE-DOME,RIOM,0630054S,LP LYCEE DES METIERS,MARIE LAURENCIN,PUBLIC,15,0,0,0,0,0,0
2022,AUVERGNE-ET-RHONE-ALPES,CLERMONT-FERRAND,PUY-DE-DOME,RIOM,0631034G,LYCEE GENERAL PRIVE,SAINTE MARIE,PRIVE,271,102,54,48,0,99,0
2022,AUVERGNE-ET-RHONE-ALPES,CLERMONT-FERRAND,PUY-DE-DOME,RIOM,0631985R,LPO LYCEE DES METIERS,PIERRE JOEL BONTE,PUBLIC,333,105,21,84,0,105,0
2022,AUVERGNE-ET-RHONE-ALPES,CLERMONT-FERRAND,PUY-DE-DOME,THIERS,0630068G,LYCEE GENERAL ET TECHNOLOGIQUE,MONTDORY,PUBLIC,675,256,160,96,0,256,0
2022,AUVERGNE-ET-RHONE-ALPES,CLERMONT-FERRAND,PUY-DE-DOME,THIERS,0630069H,LYCEE GENERAL ET TECHNOLOGIQUE,JEAN ZAY,PUBLIC,282,96,21,75,0,96,0
2022,AUVERGNE-ET-RHONE-ALPES,GRENOBLE,ARDECHE,ANNONAY,0070001N,LPO LYCEE DES METIERS,BOISSY D'ANGLAS,PUBLIC,987,322,169,153,0,322,0
2022,AUVERGNE-ET-RHONE-ALPES,GRENOBLE,ARDECHE,ANNONAY,0071126L,LYCEE GENERAL ET TECHNOL PR,SAINT DENIS,PRIVE,1067,323,195,128,0,323,0
2022,AUVERGNE-ET-RHONE-ALPES,GRENOBLE,ARDECHE,AUBENAS,0070003R,LYCEE POLYVALENT,MARCEL GIMOND,PUBLIC,728,249,155,94,0,249,0
2022,AUVERGNE-ET-RHONE-ALPES,GRENOBLE,ARDECHE,AUBENAS,0070004S,LYCEE POLYVALENT,ASTIER,PUBLIC,263,95,36,59,0,95,0
2022,AUVERGNE-ET-RHONE-ALPES,GRENOBLE,ARDECHE,AUBENAS,0070064G,LYC GEN TECH PRIVE,JULES FROMENT,PRIVE,651,213,120,93,0,213,0
2022,AUVERGNE-ET-RHONE-ALPES,GRENOBLE,ARDECHE,BOURG-SAINT-ANDEOL,0070066J,LYCEE GENERAL ET TECHNOL PR,MARIE RIVIER,PRIVE,475,170,79,91,0,170,0
2022,AUVERGNE-ET-RHONE-ALPES,GRENOBLE,ARDECHE,LE CHEYLARD,0071397F,LYCEE POLYVALENT,LE CHEYLARD,PUBLIC,287,107,55,52,0,107,0
2022,AUVERGNE-ET-RHONE-ALPES,GRENOBLE,ARDECHE,LE TEIL,0071351F,LYCEE POLYVALENT,XAVIER MALLET,PUBLIC,390,135,72,63,0,135,0
2022,AUVERGNE-ET-RHONE-ALPES,GRENOBLE,ARDECHE,PRIVAS,0070021K,LYCEE POLYVALENT,VINCENT D 'INDY,PUBLIC,752,275,145,130,0,275,0
2022,AUVERGNE-ET-RHONE-ALPES,GRENOBLE,ARDECHE,PRIVAS,0070069M,LYC GEN TECH PRIVE,SACRE COEUR  NOTRE DAME,PRIVE,154,47,21,26,0,47,0
2022,AUVERGNE-ET-RHONE-ALPES,GRENOBLE,ARDECHE,TOURNON-SUR-RHONE,0070029U,LPO LYCEE DES METIERS,GABRIEL FAURE,PUBLIC,762,254,146,108,0,253,0
2022,AUVERGNE-ET-RHONE-ALPES,GRENOBLE,ARDECHE,TOURNON-SUR-RHONE,0070071P,LPO PR,SACRE COEUR,PRIVE,542,204,100,104,0,204,0
2022,AUVERGNE-ET-RHONE-ALPES,GRENOBLE,DROME,BOURG-LES-VALENCE,0261277X,LYCEE GENERAL ET TECHNOLOGIQUE,LES TROIS SOURCES,PUBLIC,777,207,128,79,0,207,0
2022,AUVERGNE-ET-RHONE-ALPES,GRENOBLE,DROME,CHATEAUNEUF-DE-GALAURE,0260063C,LYCEE GENERAL PRIVE,NOTRE DAME DE LA GALAURE,PRIVE,486,177,107,70,2,175,0
2022,AUVERGNE-ET-RHONE-ALPES,GRENOBLE,DROME,CREST,0260006R,LYCEE POLYVALENT,FRANCOIS JEAN ARMORIN,PUBLIC,363,157,91,66,0,157,0
2022,AUVERGNE-ET-RHONE-ALPES,GRENOBLE,DROME,CREST,0260072M,LYCEE POLYVALENT PRIVE,SAINT LOUIS,PRIVE,183,64,18,46,0,64,0
2022,AUVERGNE-ET-RHONE-ALPES,GRENOBLE,DROME,DIE,0260008T,LYCEE GENERAL,DU DIOIS,PUBLIC,257,102,48,54,0,102,0
2022,AUVERGNE-ET-RHONE-ALPES,GRENOBLE,DROME,MONTELIMAR,0260015A,LYCEE GENERAL ET TECHNOLOGIQUE,ALAIN BORNE,PUBLIC,1226,380,240,140,0,380,0
2022,AUVERGNE-ET-RHONE-ALPES,GRENOBLE,DROME,MONTELIMAR,0260064D,LYCEE GENERAL PRIVE,CHABRILLAN ST JEAN-BAPTISTE,PRIVE,203,76,37,39,0,76,0
2022,AUVERGNE-ET-RHONE-ALPES,GRENOBLE,DROME,MONTELIMAR,0260113G,LPO LYCEE DES METIERS,LES CATALINS,PUBLIC,678,212,85,127,0,207,0
2022,AUVERGNE-ET-RHONE-ALPES,GRENOBLE,DROME,NYONS,0260017C,LYCEE GENERAL ET TECHNOLOGIQUE,ROUMANILLE,PUBLIC,539,196,119,77,0,196,0
2022,AUVERGNE-ET-RHONE-ALPES,GRENOBLE,DROME,PIERRELATTE,0260019E,LYCEE POLYVALENT,DR. GUSTAVE JAUME,PUBLIC,801,279,173,106,0,279,0
2022,AUVERGNE-ET-RHONE-ALPES,GRENOBLE,DROME,ROMANS-SUR-ISERE,0260022H,LYCEE GENERAL,ALBERT TRIBOULET,PUBLIC,927,334,210,124,0,334,0
2022,AUVERGNE-ET-RHONE-ALPES,GRENOBLE,DROME,ROMANS-SUR-ISERE,0260023J,LPO LYCEE DES METIERS,DU DAUPHINE,PUBLIC,801,268,107,161,1,267,0
2022,AUVERGNE-ET-RHONE-ALPES,GRENOBLE,DROME,ROMANS-SUR-ISERE,0260066F,LYCEE GENERAL PRIVE,SAINT MAURICE,PRIVE,368,131,61,70,0,131,0
2022,AUVERGNE-ET-RHONE-ALPES,GRENOBLE,DROME,SAINT-VALLIER,0261397C,LPO LYCEE DES METIERS,HENRI LAURENS,PUBLIC,411,190,100,90,0,190,0
2022,AUVERGNE-ET-RHONE-ALPES,GRENOBLE,DROME,VALENCE,0260034W,LYCEE GENERAL,EMILE LOUBET,PUBLIC,684,277,170,107,0,277,0
2022,AUVERGNE-ET-RHONE-ALPES,GRENOBLE,DROME,VALENCE,0260035X,LYCEE GENERAL,CAMILLE VERNET,PUBLIC,857,310,178,132,0,285,25
2022,AUVERGNE-ET-RHONE-ALPES,GRENOBLE,DROME,VALENCE,0260069J,LYCEE GENERAL PRIVE,NOTRE DAME,PRIVE,701,261,140,121,0,261,0
2022,AUVERGNE-ET-RHONE-ALPES,GRENOBLE,DROME,VALENCE,0260071L,LYCEE GENERAL PRIVE,SAINT VICTOR,PRIVE,357,134,68,66,0,134,0
2022,AUVERGNE-ET-RHONE-ALPES,GRENOBLE,DROME,VALENCE,0260074P,LYC TECHNOL PRIVE,MONTPLAISIR,PRIVE,452,136,100,36,0,136,0
2022,AUVERGNE-ET-RHONE-ALPES,GRENOBLE,DROME,VALENCE,0261505V,LPO LYCEE DES METIERS,ALGOUD - LAFFEMAS,PUBLIC,1358,378,146,232,0,378,0
2022,AUVERGNE-ET-RHONE-ALPES,GRENOBLE,HAUTE SAVOIE,ABONDANCE,0741443S,LYCEE GENERAL PRIVE,SAINTE CROIX DES NEIGES,PRIVE,79,30,8,22,0,25,5
2022,AUVERGNE-ET-RHONE-ALPES,GRENOBLE,HAUTE SAVOIE,ANNECY,0740003B,LYCEE GENERAL,CLAUDE LOUIS BERTHOLLET,PUBLIC,1406,515,276,239,0,515,0
2022,AUVERGNE-ET-RHONE-ALPES,GRENOBLE,HAUTE SAVOIE,ANNECY,0740005D,LYCEE GENERAL ET TECHNOLOGIQUE,GABRIEL FAURE,PUBLIC,1628,465,296,169,0,465,0
2022,AUVERGNE-ET-RHONE-ALPES,GRENOBLE,HAUTE SAVOIE,ANNECY,0740054G,LYCEE PROFESSIONNEL,GERMAIN SOMMEILLER,PUBLIC,13,0,0,0,0,0,0
2022,AUVERGNE-ET-RHONE-ALPES,GRENOBLE,HAUTE SAVOIE,ANNECY,0740082M,LYCEE GENERAL ET TECHNOL PR,SAINT MICHEL,PRIVE,866,305,146,159,0,305,0
2022,AUVERGNE-ET-RHONE-ALPES,GRENOBLE,HAUTE SAVOIE,ANNECY,0741101V,LYCEE POLYVALENT,LES BRESSIS,PRIVE,222,61,44,17,0,61,0
2022,AUVERGNE-ET-RHONE-ALPES,GRENOBLE,HAUTE SAVOIE,ANNECY,0741418P,LYCEE GENERAL ET TECHNOLOGIQUE,CHARLES BAUDELAIRE,PUBLIC,1210,410,223,187,1,383,0
2022,AUVERGNE-ET-RHONE-ALPES,GRENOBLE,HAUTE SAVOIE,ANNEMASSE,0740009H,LYCEE POLYVALENT,DES GLIERES,PUBLIC,1072,372,208,164,0,352,0
2022,AUVERGNE-ET-RHONE-ALPES,GRENOBLE,HAUTE SAVOIE,ANNEMASSE,0741476C,LYCEE POLYVALENT,JEAN MONNET,PUBLIC,1015,351,199,152,0,314,22
2022,AUVERGNE-ET-RHONE-ALPES,GRENOBLE,HAUTE SAVOIE,ARGONAY,0740006E,LPO LYCEE DES METIERS,LOUIS LACHENAL,PUBLIC,1358,485,208,277,0,485,0
2022,AUVERGNE-ET-RHONE-ALPES,GRENOBLE,HAUTE SAVOIE,BONNEVILLE,0740013M,LPO LYCEE DES METIERS,GUILLAUME FICHET,PUBLIC,846,331,200,131,0,331,0
2022,AUVERGNE-ET-RHONE-ALPES,GRENOBLE,HAUTE SAVOIE,CHAMONIX-MONT-BLANC,0741669M,LYCEE POLYVALENT,ROGER FRISON ROCHE,PUBLIC,368,132,76,56,0,132,0
2022,AUVERGNE-ET-RHONE-ALPES,GRENOBLE,HAUTE SAVOIE,CLUSES,0740017S,LPO LYCEE DES METIERS,CHARLES PONCET,PUBLIC,1299,425,225,200,1,412,0
2022,AUVERGNE-ET-RHONE-ALPES,GRENOBLE,HAUTE SAVOIE,CLUSES,0740143D,LYCEE POLYVALENT PRIVE,ST JEAN BOSCO LES CORDELIERS,PRIVE,238,105,44,61,0,105,0
2022,AUVERGNE-ET-RHONE-ALPES,GRENOBLE,HAUTE SAVOIE,EVIAN-LES-BAINS,0740051D,LYCEE POLYVALENT,ANNA DE NOAILLES,PUBLIC,786,290,161,129,0,290,0
2022,AUVERGNE-ET-RHONE-ALPES,GRENOBLE,HAUTE SAVOIE,LA ROCHE-SUR-FORON,0740092Y,LYC GEN TECH PRIVE,SAINTE FAMILLE,PRIVE,678,239,123,116,0,239,0
2022,AUVERGNE-ET-RHONE-ALPES,GRENOBLE,HAUTE SAVOIE,PASSY,0740027C,LPO LYCEE DES METIERS,MONT BLANC RENE DAYVE,PUBLIC,1019,313,153,160,0,297,0
2022,AUVERGNE-ET-RHONE-ALPES,GRENOBLE,HAUTE SAVOIE,RUMILLY,0741469V,LPO PR,DEMOTZ DE LA SALLE,PRIVE,297,111,67,44,0,111,0
2022,AUVERGNE-ET-RHONE-ALPES,GRENOBLE,HAUTE SAVOIE,RUMILLY,0741532N,LYCEE GENERAL ET TECHNOLOGIQUE,DE L'ALBANAIS,PUBLIC,1240,395,207,188,0,395,0
2022,AUVERGNE-ET-RHONE-ALPES,GRENOBLE,HAUTE SAVOIE,SAINT-JULIEN-EN-GENEVOIS,0740037N,LYCEE GENERAL ET TECHNOLOGIQUE,MME DE STAEL,PUBLIC,1021,306,176,130,0,306,0
2022,AUVERGNE-ET-RHONE-ALPES,GRENOBLE,HAUTE SAVOIE,SAINT-JULIEN-EN-GENEVOIS,0740097D,LYCEE GENERAL PRIVE,LA PRESENTATION DE MARIE,PRIVE,299,127,75,52,1,126,0
2022,AUVERGNE-ET-RHONE-ALPES,GRENOBLE,HAUTE SAVOIE,SALLANCHES,0740098E,LYCEE GENERAL ET TECHNOL  PR,SAINT JOSEPH,PRIVE,279,87,47,40,0,87,0
2022,AUVERGNE-ET-RHONE-ALPES,GRENOBLE,HAUTE SAVOIE,THONES,0740099F,LYCEE GENERAL PRIVE,SAINT JOSEPH,PRIVE,315,125,74,51,0,125,0
2022,AUVERGNE-ET-RHONE-ALPES,GRENOBLE,HAUTE SAVOIE,THONON-LES-BAINS,0740046Y,LYCEE GENERAL ET TECHNOLOGIQUE,LA VERSOIE,PUBLIC,1622,540,316,224,0,540,0
2022,AUVERGNE-ET-RHONE-ALPES,GRENOBLE,HAUTE SAVOIE,THONON-LES-BAINS,0740047Z,LPO LYCEE DES METIERS,SAVOIE LEMAN,PUBLIC,278,0,0,0,0,0,0
2022,AUVERGNE-ET-RHONE-ALPES,GRENOBLE,HAUTE SAVOIE,THONON-LES-BAINS,0740100G,LYCEE GENERAL ET TECHNOL PR,SAINT JOSEPH LA SALLE,PRIVE,629,244,132,112,0,244,0
2022,AUVERGNE-ET-RHONE-ALPES,GRENOBLE,HAUTE SAVOIE,THONON-LES-BAINS,0741307U,LYCEE TECHNO PR,JEANNE D ARC,PRIVE,144,34,27,7,0,34,0
2022,AUVERGNE-ET-RHONE-ALPES,GRENOBLE,HAUTE SAVOIE,VILLE-LA-GRAND,0740104L,LYCEE GENERAL PRIVE,SAINT FRANCOIS,PRIVE,472,162,91,71,0,162,0
2022,AUVERGNE-ET-RHONE-ALPES,GRENOBLE,ISERE,BOURGOIN-JALLIEU,0380008C,LYCEE GENERAL ET TECHNOLOGIQUE,L'OISELET,PUBLIC,1803,543,290,253,0,543,0
2022,AUVERGNE-ET-RHONE-ALPES,GRENOBLE,ISERE,ECHIROLLES,0382920T,LYCEE GENERAL ET TECHNOLOGIQUE,MARIE CURIE,PUBLIC,1181,417,227,190,0,417,0
2022,AUVERGNE-ET-RHONE-ALPES,GRENOBLE,ISERE,GRENOBLE,0380018N,LYC TECHNO PRIVE DES METIERS,ISER - BORDIER,PRIVE,38,6,4,2,0,6,0
2022,AUVERGNE-ET-RHONE-ALPES,GRENOBLE,ISERE,GRENOBLE,0380027Y,LYCEE GENERAL,CHAMPOLLION,PUBLIC,889,357,182,175,0,357,0
2022,AUVERGNE-ET-RHONE-ALPES,GRENOBLE,ISERE,GRENOBLE,0380028Z,LYCEE GENERAL,STENDHAL,PUBLIC,456,177,110,67,1,175,1
2022,AUVERGNE-ET-RHONE-ALPES,GRENOBLE,ISERE,GRENOBLE,0380029A,LYCEE GENERAL ET TECHNOLOGIQUE,LES EAUX CLAIRES,PUBLIC,933,336,194,142,0,336,0
2022,AUVERGNE-ET-RHONE-ALPES,GRENOBLE,ISERE,GRENOBLE,0380032D,LYCEE POLYVALENT,EMMANUEL  MOUNIER,PUBLIC,644,230,131,99,0,220,0
2022,AUVERGNE-ET-RHONE-ALPES,GRENOBLE,ISERE,GRENOBLE,0380033E,LYCEE POLYVALENT,VAUCANSON,PUBLIC,521,182,39,143,0,181,0
2022,AUVERGNE-ET-RHONE-ALPES,GRENOBLE,ISERE,GRENOBLE,0380034F,LPO LYCEE DES METIERS,LOUISE MICHEL,PUBLIC,697,133,96,37,0,133,0
2022,AUVERGNE-ET-RHONE-ALPES,GRENOBLE,ISERE,GRENOBLE,0380035G,LPO LYCEE DES METIERS,LESDIGUIERES,PUBLIC,176,0,0,0,0,0,0
2022,AUVERGNE-ET-RHONE-ALPES,GRENOBLE,ISERE,GRENOBLE,0381603L,LYCEE POLYVALENT,ANDRE  ARGOUGES,PUBLIC,841,243,150,93,15,228,0
2022,AUVERGNE-ET-RHONE-ALPES,GRENOBLE,ISERE,GRENOBLE,0381666E,LYCEE GENERAL ET TECHNOL PR,PIERRE TERMIER,PRIVE,781,287,125,162,0,287,0
2022,AUVERGNE-ET-RHONE-ALPES,GRENOBLE,ISERE,GRENOBLE,0381803D,LYCEE GENERAL PRIVE,EXTERNAT NOTRE DAME,PRIVE,390,145,89,56,0,145,0
2022,AUVERGNE-ET-RHONE-ALPES,GRENOBLE,ISERE,GRENOBLE,0383242T,LYCEE GENERAL,INTERNATIONAL EUROPOLE,PUBLIC,509,173,104,69,25,66,23
2022,AUVERGNE-ET-RHONE-ALPES,GRENOBLE,ISERE,LA COTE-SAINT-ANDRE,0380014J,LYCEE POLYVALENT,HECTOR BERLIOZ,PUBLIC,753,256,150,106,1,255,0
2022,AUVERGNE-ET-RHONE-ALPES,GRENOBLE,ISERE,LA COTE-SAINT-ANDRE,0381660Y,LYCEE GENERAL PRIVE,SAINTE CECILE,PRIVE,338,111,61,50,0,111,0
2022,AUVERGNE-ET-RHONE-ALPES,GRENOBLE,ISERE,LA MURE,0380049X,LYCEE POLYVALENT,DE LA MATHEYSINE,PUBLIC,337,111,53,58,0,111,0
